title,artist_name,longest_run
"Blinding Lights","The Weeknd",90
Radioactive,"Imagine Dragons",87
Sail,AWOLNATION,79
"I'm Yours","Jason Mraz",76
"How Do I Live","LeAnn Rimes",69
"Party Rock Anthem","LMFAO Featuring Lauren Bennett & GoonRock",68
"Counting Stars",OneRepublic,68
"Foolish Games/You Were Meant For Me",Jewel,65
"Rolling In The Deep",Adele,65
"Before He Cheats","Carrie Underwood",64
"Ho Hey","The Lumineers",62
"You And Me",Lifehouse,62
"I Hope","Gabby Barrett Featuring Charlie Puth",62
Demons,"Imagine Dragons",61
Circles,"Post Malone",61
"Macarena (Bayside Boys Mix)","Los Del Rio",60
"Need You Now","Lady Antebellum",60
"Shape Of You","Ed Sheeran",59
"Somebody That I Used To Know","Gotye Featuring Kimbra",59
"All Of Me","John Legend",59
